year,no,instruction,input,result,isAnswerable,isMultipleChoice,isSingleChoiceSolution,note
2024,11,บัตรดูละครอยู่ 4 ใบ เป็นบัตรราคาใบละ 100 บาท 2 ใบ ใบละ 50 บาท 1 ใบ และใบละ 30 บาท อีก 1 ใบ จงหาว่าควรจะเป็นในการหยิบบัตรดูละครหนึ่งใบให้ได้บัตรราคา 100 บาท หรือบัตรราคา 50 บาท,"(1) 0.25
(2) 0.3
(3) 0.5
(4) 0.75
(5) 0.8
",(4) 0.75,True,True,True,Quant
2024,12,บ้านพักและสถานที่ทำงานของประธานพรตั้งอยู่ริมฝั่งแม่น้ำเจ้าพระยา ประธานพรโดยสารเรือยนต์ไปทำงานตอนเช้าและกลับที่พักตอนเย็น โดยเรือยนต์มีราคาดังนี้ ราคาใหญ่ 3 ล้าน ราคากลาง 5 ล้าน และราคาเล็ก 2 ล้าน และถ้าประธานพรไม่เจรจะโดยสารเรือลำหนึ่งลำใดโดยเฉพาะ ความราคาจะเป็นที่ประธานพรจะโดยสารเรือยนต์ไปทำงานและกลับบ้านพักด้วยเรือคนละราคากันมีคำถามใด?,"(1) 62/90
(2) 62/100
(3) 21/100
(4) 21/90
(5) 15/90
",(2) 62/100,True,True,True,Quant
2024,13,"ราคาเข้าชมกายการแข่งขันวอลเลย์บอลนัดหนึ่งเป็นดังนี้ ผู้ใหญ่คนละ 250 บาท และเด็กคนละ 150 บาท ตามข้อกฎว่ามีผู้เข้าชม 8,500 คน และรายได้จากบัตรเข้าชมได้ 1,995,000 บาท อยากทราบว่ามีผู้ใหญ่และเด็กเข้าชมการแข่งขันครั้งนี้มีจำนวนต่างกันกี่คน","(1) 7200
(2) 5900
(3) 5400
(4) 4200
(5) 3600
",(2) 5900,True,True,True,Quant
2024,14,"ซื้อวัวและแกะมาอย่างละตัวราคารวมกัน 9,000 บาท ขายวัวไปได้กำไร 30% ขายแกะไปได้กำไร 40% รวมกำไรทั้งสิ้น 3,100 บาท จงหาว่าซื้อวัวมีราคาตัวละเท่าใด","(1) 3000
(2) 4000
(3) 5000
(4) 6000
(5) 7000
",(3) 5000,True,True,True,Quant
2024,15,ในการสอบวิชาภาษาอังกฤษ ข้อสอบมี 30 ข้อ ถ้าตอบถูกในข้อนั้นจะได้ 3 คะแนน แต่ถ้าตอบผิดจะถูกหักคะแนนข้อละ 2 คะแนน ถ้านักเรียนคนหนึ่งทำข้อสอบทุกข้อได้คะแนนรวมกัน 65 คะแนน จงหาว่าเขาทำข้อสอบผิดกี่ข้อ,"(1) 1
(2) 2
(3) 3
(4) 4
(5) 5
",(5) 5,True,True,True,Quant
2024,16,"สวนสัตว์เลี้ยงกิ้งก่าประหลาดชนิดหนึ่ง ซึ่งเปลี่ยนสีทุกครั้งที่มีวัตถุมาแตะโดนตัวของกิ้งก่าชนิดนี้ และมีการเปลี่ยนสีที่มีรูปแบบต่อไปนี้:

กิ้งก่าสีแดง หากโดนแตะจะเปลี่ยนเป็นกิ้งก่าสีเขียว
กิ้งก่าสีเขียว หากโดนแตะจะเปลี่ยนเป็นกิ้งก่าสีน้ำเงิน
กิ้งก่าสีน้ำเงิน หากโดนแตะจะเปลี่ยนเป็นกิ้งก่าสีแดง
ทุกวันก่อนเปิดการแสดงกิ้งก่า สวนสัตว์ต้องให้กิ้งก่าทั้งหมดมีสีเป็นสีใดก็ได้ แต่กิ้งก่าทั้งหมดจะต้องมีสีเดียวกันทุกตัว ถ้าวันนี้ก่อนเปิดการแสดงมีกิ้งก่าสีแดง 13 ตัว กิ้งก่าสีเขียว 16 ตัว และกิ้งก่าสีน้ำเงิน 9 ตัว อยากทราบผู้ดูแลจะต้องแตะกิ้งก่าทั้งหมดรวมกันอย่างน้อยที่สุดกี่ครั้ง (ผู้ดูแลสามารถแตะกิ้งก่าตัวเดียวกัน ซ้ำกันได้ไม่เกิน 4 ครั้ง)","(1) 25
(2) 28
(3) 31
(4) 33
(5) 35
",(3) 31,True,True,True,Quant
2024,17,"ในบริษัทแห่งหนึ่งมีการสรรหาที่จอดรถให้กับผู้บริหาร 5 ที่ เรียงตามลำดับตำแหน่งดังต่อไปนี้: กรรมการผู้จัดการ, ประธาน, รองประธาน, ผู้อำนวยการ, และผู้จัดการ ถ้าระบุชื่อของผู้บริหารโดยเรียงตามตัวอักษร คือ กมล, ขนิษฐา, ครรชิต, จันทนี, และเฉลิมชัย และมีรถสีต่างกัน คือ สีเหลือง, เขียว, ขาว, แดง, และดำ (ไม่ได้เรียงตามลำดับตำแหน่งและชื่อ) โดยมีข้อมูลดังต่อไปนี้:

รถที่จอดในช่องแรกเป็นสีแดง
รถคันสีดำจอดระหว่างสีแดงและสีเขียว
รถในช่องสุดท้ายเป็นสีขาว
ผู้อำนวยการขับรถสีเหลือง
รถของกมลจอดช่องติดกันกับรถของจันทนี
เฉลิมชัยขับรถสีเขียว
รถของขนิษฐาจอดระหว่างรถของครรชิตและเฉลิมชัย
รถของจันทนีจอดในช่องสุดท้าย
ใครคือกรรมการผู้จัดการของบริษัทนี้?","(1) กมล
(2) ขนิษฐา
(3) ครรชิต
(4) จันทนี
(5) เฉลิมชัย
",(3) ครรชิต,True,True,True,Quant
2024,18,"ศูนย์ภูมิศาสตร์ไดย รักสัตว์ เลี้ยงสุนัข 7 สายพันธุ์ คือ A, B, C, D, E, F, G เนื่องจากบางสายพันธุ์จะเลี้ยงในกรงเดียวกันไม่ได้ เพราะจะกัดกัน หากสายพันธุ์ที่เป็นคู่กัดคือ A-F, F-B, F-E, B-E, E-C, E-D, C-G และ B-G จงหาว่าศูนย์ภูมิศาสตร์ไดย จะต้องใช้กรงอย่างน้อยที่สุดกี่กรง","(1) 1
(2) 2
(3) 3
(4) 4
(5) 5
",(3) 3,True,True,True,Quant
2024,19,หลายคนบอกว่าประกันชีวิตไม่สำคัญ เพราะหลายคนหวังว่าตัวเองจะไม่เป็นอะไร คุณคิดหรือไม่ให้ตัวเองเจ็บป่วย คุณคิดหรือไม่ให้เกิดอุบัติเหตุ และคุณคิดหรือไม่ให้ครอบครัวของคุณได้รับการดีและรอดเมื่อคุณไม่อยู่ในโลกนี้ ถ้าคุณตอบว่าไม่ได้ อะไรคือหลักประกันความมั่นคงของการดำรงชีวิตของคุณ การประกันอันดีควรมาพร้อมการเก็บออมที่มีการวางแผนแต่เนิ่น ๆ การประกันประเภทออมทรัพย์ที่มีระยะเวลาคุ้มครอง 10 ปีขึ้นไป ยังสามารถช่วยลดหย่อนภาษีได้อีกด้วย ข้อใดคือใจความสำคัญของข้อความนี้,"(1) การประกันอนาคตด้วยการฝากเงิน
(2) การประกันอนาคตด้วยการดูแลสุขภาพ
(3) การประกันอนาคตด้วยการทำประกันชีวิต
(4) การประกันอนาคตด้วยการวางแผนการใช้จ่าย
(5) การประกันอนาคตด้วยการลงทุน
",(3) การประกันอนาคตด้วยการทำประกันชีวิต,True,True,True,Quant
2024,20,ความสำคัญของพลาสติกเป็นส่วนสำคัญในการใช้ชีวิตของคนในสมัยนี้ เป็นอย่างมาก พลาสติกเป็นส่วนประกอบของเครื่องมือและเครื่องใช้ที่สำคัญของมนุษย์ตั้งแต่เชื่อมต่อไปจนถึงปัจจุบัน มนุษย์ได้พัฒนาเทคโนโลยีของพลาสติกเพื่อใช้ประโยชน์ แต่มนุษย์ยังไม่สามารถพัฒนาการจัดการกับขยะพลาสติกที่ส่งผลกระทบต่อสิ่งแวดล้อมให้น้อยที่สุดได้เลย ข้อความนี้สรุปใจความอย่างไร,"(1) มนุษย์มีปัญหาในการใช้พลาสติก
(2) มนุษย์ทุกคนล้วนต้องใช้พลาสติก
(3) พลาสติกมีประโยชน์และความเสียหายสำหรับมนุษย์
(4) พลาสติกทำให้เกิดปัญหาต่อสิ่งแวดล้อม
(5) มนุษย์ต้องใช้เครื่องมือจากพลาสติก
",(4) พลาสติกทำให้เกิดปัญหาต่อสิ่งแวดล้อม,True,True,True,Quant
2024,21,ความสำคัญของพลาสติกเป็นส่วนสำคัญในการใช้ชีวิตของคนในสมัยนี้ เป็นอย่างมาก พลาสติกเป็นส่วนประกอบของเครื่องมือและเครื่องใช้ที่สำคัญของมนุษย์ตั้งแต่เชื่อมต่อไปจนถึงปัจจุบัน มนุษย์ได้พัฒนาเทคโนโลยีของพลาสติกเพื่อใช้ประโยชน์ แต่มนุษย์ยังไม่สามารถพัฒนาการจัดการกับขยะพลาสติกที่ส่งผลกระทบต่อสิ่งแวดล้อมให้น้อยที่สุดได้เลย ปัญหาสำคัญของมนุษย์เกี่ยวกับพลาสติกคืออะไร,"(1) การกำจัดขยะพลาสติก
(2) การพัฒนาคุณสมบัติของพลาสติก
(3) การพัฒนาเทคโนโลยีในการผลิตพลาสติก
(4) พลาสติกเป็นองค์ประกอบสำคัญในชีวิตมนุษย์มากเกินไป
(5) การใช้พลาสติกอย่างเหมาะสม
",(1) การกำจัดขยะพลาสติก,True,True,True,Quant
2024,22,แมลงบางชนิดในที่ที่มีการพ่นยาฆ่าแมลงจำนวนมากสร้างความต้านทานต่อฤทธิ์ยาได้มากกว่าแมลงในที่ที่ไม่เคยพ่นยาฆ่าแมลงเลยเพราะแมลงเคยชินต่อฤทธิ์ยามีความทนต่อยาหรือดื้อยานั่นเอง ความต้านทานทางพันธุกรรมเกิดขึ้นได้จากหลายสาเหตุ เช่น พิษยาอาจซึมซาบเข้าไปในร่างกายแมลงได้ลง ระบบสืบราวิทยาของแมลงสร้างพิษของยาในรูปที่ไม่สามารถแสดงฤทธิ์ก็เป็นได้ ดังนั้นแมลงที่รอดตายหลังจากถูกกำจัดด้วยยาฆ่าแมลงก็คือแมลงที่มีความสามารถทนทานเป็นพิเศษต่อยาฆ่าแมลงดังกล่าวมาแล้วข้างต้นนั่นเอง ข้อสรุปใดต่อไปนี้ สอดคล้องกับข้อความข้างต้นอย่างสมเหตุสมผลที่สุด,"(1) แมลงสามารถรับมือได้กับความต้านทานที่มีต่อฤทธิ์ยามีดีจะมีความสามารถทนทานเป็นพิเศษต่อยากันแมลงได้
(2) แมลงเคยชินต่อฤทธิ์ยามีความทนต่อยาหรือดื้อยาจะเป็นแมลงบางท้องที่
(3) แมลงเคยชินต่อฤทธิ์ยามีความทนต่อยาหรือดื้อยาต่อพิษยาซึ่งอาจจะซึมซับเข้าไปในระบบทางของแมลงนั้นได้ช้าลง
(4) แมลงสามารถรับมือได้กับความต้านทานที่มีต่อฤทธิ์ยามีดีจะมีความสามารถทนทานเป็นพิเศษต่อยาฆ่าแมลงได้ไม่ดี
(5) พิษยาจะซึมซับเข้าไปในระบบทางแมลงได้ช้าลง
",(3) แมลงเคยชินต่อฤทธิ์ยามีความทนต่อยาหรือดื้อยาต่อพิษยาซึ่งอาจจะซึมซับเข้าไปในระบบทางของแมลงนั้นได้ช้าลง,True,True,True,Quant
2024,23,กรกชมีเงิน 85 บาท ถ้าให้ขจรไป 15 บาท เขาจะมีเงินเป็น 1/3 ของขจร ถ้าเดิมขจรมีเงินน้อยกว่าคิมหันต์ 100 บาท จงหาว่าเดิมกรกชมีเงินน้อยกว่าคิมหันต์กี่บาท,"(1) 295
(2) 285
(3) 250
(4) 210
(5) 195
",(4) 210,True,True,True,Quant
2024,24,ในงานเลี้ยงแห่งหนึ่ง มีแขกชายและหญิงมาร่วมงานหลายท่าน ถ้าผู้หญิงกลับไป 15 คน จะมีจำนวนผู้ชายเป็นสองเท่าของผู้หญิง หลังจากนั้นผู้ชายกลับไป 25 คน จะมีจำนวนผู้หญิงเป็นสามเท่าของจำนวนผู้ชาย ในงานเลี้ยงแห่งนี้มีผู้หญิงมาร่วมงานทั้งหมดกี่คน,"(1) 30
(2) 40
(3) 45
(4) 50
(5) 60
",(1) 30,True,True,True,Quant
2024,25,"ปี พ.ศ. 2564 ม่วงและฟ้า แต่ละคนได้รับเงินเดือนทั้งปี 354,000 บาท เหลืองและแดงได้รับเงินเดือนทั้งปี 282,000 บาท ส้ม เขียว น้ำเงินและชมพู ได้รับเงินเดือนทั้งปี 420,000 บาท ต่อมาปี พ.ศ. 2565 ทุกคนได้รับเงินเดือนเพิ่มอีก 10% ยกเว้น ฟ้าได้ 15% ส้มและม่วงทำผลงานดีมากจึงได้โบนัสเพิ่มอีกเท่ากับเงินเดือนของปี พ.ศ. 2564 1 เดือน จงหาว่าปี พ.ศ. 2565 บริษัทต้องจ่ายเงินให้พนักงานเพิ่มจากปี พ.ศ. 2564 ประมาณกี่เปอร์เซ็นต์","(1) 5
(2) 8
(3) 13
(4) 18
(5) 20
",(3) 13,True,True,True,Quant
2024,26,นาย A ทาสีบ้าน 1 หลังใช้เวลา 7 ชั่วโมง นาย B ทาสีบ้านแบบเดียวกันใช้เวลา 9 ชั่วโมง ถ้าทั้งสองคนช่วยกันทาสีไปแล้วเป็นเวลา 3 ชั่วโมง หลังจากนั้น นาย B ปล่อยให้นาย A ทาสีบ้านต่อคนเดียว แล้วนาย A ต้องทาสีบ้านอีกนานเท่าใดจึงจะเสร็จสมบูรณ์,"(1) 1 ชั่วโมง 20 นาที
(2) 1 ชั่วโมง 40 นาที
(3) 2 ชั่วโมง 20 นาที
(4) 2 ชั่วโมง 40 นาที
(5) 3 ชั่วโมง 20 นาที
",(2) 1 ชั่วโมง 40 นาที,True,True,True,Quant
2024,27,เด็ก 3 คน กับผู้ใหญ่ 4 คนสร้างกระท่อมเสร็จใน 3 วัน เด็ก 2 คน กับผู้ใหญ่ 5 คน จะสร้างกระท่อมนี้เสร็จใน 4 วัน ถ้าให้เด็ก 3 คน จะสร้างกระท่อมเสร็จในเวลากี่วัน:,"(1) 2 วัน 4 ชั่วโมง
(2) 3 วัน 20 ชั่วโมง
(3) 4 วัน 16 ชั่วโมง
(4) 5 วัน 8 ชั่วโมง
(5) 3 วัน 12 ชั่วโมง
",(5) 3 วัน 12 ชั่วโมง,True,True,True,Quant
2024,28,ถไฟขบวนหนึ่งแล่นด้วยความเร็ว 70 กิโลเมตรต่อชั่วโมง ผ่านชายคนหนึ่งที่กำลังเดินสวนทางกับรถไฟ ด้วยความเร็ว 2 กิโลเมตรต่อชั่วโมง ปรากฏว่ารถไฟแล่นผ่านชายคนนี้ในเวลา 10 วินาที อยากทราบว่ารถไฟขบวนนี้ยาวกี่เมตร,"(1) 100 เมตร
(2) 200 เมตร
(3) 300 เมตร
(4) 400 เมตร
(5) 500 เมตร
",(2) 200 เมตร,True,True,True,Quant
2024,29,รถไฟขบวนหนึ่งหากแล่นช้ากว่าปกติ 5 กิโลเมตรต่อชั่วโมง ในระยะทาง 90 กิโลเมตร จะใช้เวลามากกว่าปกติ 15 นาที อยากทราบว่าความเร็วปกติของรถไฟเป็นเท่าใดในหน่วยกิโลเมตรต่อชั่วโมง:,"(1) 40 กม./ชม.
(2) 45 กม./ชม.
(3) 48 กม./ชม.
(4) 50 กม./ชม.
(5) 55 กม./ชม.
",(2) 45 กม./ชม.,True,True,True,Quant
2024,30,ในการสำรวจความนิยมเกี่ยวกับเพลงโดยสอบถามจากนักเรียนโรงเรียนหนึ่งจำนวน 300 คน พบว่าแต่ละคนชอบเพลงลูกทุ่ง เพลงลูกกรุง หรือเพลงไทยเดิมอย่างน้อยหนึ่งประเภท ปรากฏว่า 120 คน ชอบเพลงลูกทุ่ง 70 คน ชอบเพลงลูกกรุงอย่างเดียว 80 คน ชอบเพลงไทยเดิมอย่างเดียว 45 คน ชอบทั้งเพลงลูกกรุงและเพลงไทยเดิม 30 คน ชอบทั้งเพลงลูกทุ่งและเพลงลูกกรุง แต่ไม่ชอบเพลงไทยเดิม 50 คน ไม่ชอบเพลงไทยเดิมและไม่ชอบเพลงลูกกรุง จะมีคนชอบทั้งเพลงลูกทุ่งและเพลงไทยเดิมแต่ไม่ชอบเพลงลูกกรุงกี่คน,"(1) 25 คน
(2) 15 คน
(3) 45 คน
(4) 5 คน
(5) 22 คน
",(1) 25 คน,True,True,True,Quant
2024,31,หมู่บ้านแห่งหนึ่งมีครอบครัวทั้งหมด 800 ครอบครัว ประกอบอาชีพค้าขายอย่างเดียว 10 ครอบครัว นอกนั้นทาสวนเงาะ มังคุด ทุเรียน จากการสำรวจเฉพาะชาวสวนพบว่ามีครอบครัวที่ปลูกผลไม้ตั้งแต่ 2 ชนิดขึ้นไป 110 ครอบครัว ปลูกเงาะและมังคุด 70 ครอบครัว ปลูกเงาะและทุเรียน 60 ครอบครัว ปลูกมังคุดและทุเรียน 50 ครอบครัว ไม่ปลูกมังคุดเลย 290 ครอบครัว จงหาว่ามีกี่ครอบครัวที่ปลูกแต่มังคุดเพียงอย่างเดียวเท่านั้น:,"(1) 370 ครอบครัว
(2) 400 ครอบครัว
(3) 415 ครอบครัว
(4) 423 ครอบครัว
(5) 440 ครอบครัว
",(3) 415 ครอบครัว,True,True,True,Quant
2024,32,A และ B เล่มเกมพนันชนิดหนึ่ง โดย A และ B โยนลูกเต๋าคนละลูกพร้อมกัน ถ้าแต้มรวมกันได้ 8 แล้ว A จะเป็นผู้ชนะ แต่ถ้าแต้มรวมกันได้ 7 แล้ว B จะเป็นผู้ชนะ ผลนอกจากนี้ถือว่าเสมอกัน ถ้า A และ B เล่นกัน 36 ครั้ง คาดว่าจะเสมอกันกี่ครั้ง:,"(1) 11 ครั้ง
(2) 15 ครั้ง
(3) 18 ครั้ง
(4) 20 ครั้ง
(5) 25 ครั้ง
",(5) 25 ครั้ง,True,True,True,Quant
2024,33,สลาก 11 ใบ มีหลายเลข 1 ถึง 11 กับอยู่ใบละ 1 หมายเลข สุ่มหยิบสลากมา 4 ใบ ความน่าจะเป็นที่สลากที่หยิบมามีผลคูณของหมายเลขเป็นจำนวนคู่ แต่ผลบวกของหมายเลขเป็นจำนวนคี่ มีค่าเท่าใด:,"(1) 0.30
(2) 0.36
(3) 0.42
(4) 0.48
(5) 0.54
",(4) 0.48,True,True,True,Quant
2024,34,รูปสี่เหลี่ยมผืนผ้ารูปหนึ่งมีเส้นทแยงมุมยาว 10 เซนติเมตร และเส้นรอบรูปยาว 28 เซนติเมตร จงหาพื้นที่ของรูปสี่เหลี่ยมผืนผ้านี้ในหน่วยตารางเซนติเมตร:,"(1) 40 ตร.ซม.
(2) 42 ตร.ซม.
(3) 44 ตร.ซม.
(4) 46 ตร.ซม.
(5) 48 ตร.ซม.
",(5) 48 ตร.ซม.,True,True,True,Quant
2024,35,ผสมกาแฟสองชนิดราคากิโลกรัมละ 32 บาท และ 25 บาทตามลำดับ โดยผสมในอัตราส่วน 3:4 อยากทราบว่าต้องขายกาแฟผสมนี้กิโลกรัมละกี่บาท จึงจะได้กำไร 25%:,"(1) 30 บาท
(2) 32 บาท
(3) 34 บาท
(4) 35 บาท
(5) 38 บาท
",(4) 35 บาท,True,True,True,Quant
2024,36,"กำหนดให้ x, y, และ z เป็นจำนวนเต็มคี่ที่เรียงต่อกันโดยที่ x < y < z ถ้าผลบวกของ x, y, และ z น้อยกว่า 57 แล้วผลบวกของจำนวนทั้งสามดังกล่าวมีค่ามากที่สุดคือข้อใด:","(1) 55
(2) 53
(3) 51
(4) 49
(5) 47
",(3) 51,True,True,True,Quant
2024,37,ในขณะที่เมนเดลค้นคว้าอยู่นั้น นักชีววิทยากลุ่มหนึ่งที่ใช้กล้องจุลทรรศน์เป็นเครื่องค้นคว้า ได้พบรายละเอียดของเซลล์มากขึ้น จนกระทั่ง พ.ศ. 2432 นักชีววิทยาจึงสามารถเห็นรายละเอียดภายในนิวเคลียส ขณะที่มีการแบ่งเซลล์ ได้พบว่าภายในนิวเคลียส มีโครงสร้างที่ติดสีได้และมีลักษณะเป็นเส้นใย เรียกว่าโครโมโซม ข้อความข้างต้นกล่าวถึงเรื่องใด:,"(1) การใช้กล้องจุลทรรศน์
(2) การวิจัยโครโมโซม
(3) การค้นพบนิวเคลียส
(4) การวิจัยนิวเคลียส
(5) การค้นพบโครโมโซม
",(5) การค้นพบโครโมโซม,True,True,True,Quant
2024,38,ความเผ็ดของพริกเกิดจากสารแคปไซซินที่เกาะอยู่ตามบริเวณเมล็ดพริก ซึ่งสารแคปไซซินจะละลายในน้ำได้น้อย แต่ละลายได้ดีในไขมันและแอลกอฮอล์ หากต้องการลดความเผ็ดของอาหารในปากให้รับประทานอาหารที่มีไขมันหรือเครื่องดื่มที่มีแอลกอฮอล์ผสมอยู่ เพราะการดื่มน้ำเปล่าจะช่วยลดเพียงอาการแสบร้อนเท่านั้น ซึ่งระดับความเผ็ดของพริกจะแตกต่างกันออกไปตามชนิดของพริก บทความนี้กล่าวถึงเรื่องใดเป็นสำคัญ:,"(1) น้ำเปล่าช่วยให้หายเผ็ด
(2) ความเผ็ดของพริกเกิดจากสารแคปไซซิน
(3) การละลายของสารแคปไซซิน
(4) ให้ดื่มเครื่องดื่มที่มีแอลกอฮอล์ช่วยลดอาการเผ็ด
(5) สารแคปไซซินอยู่บริเวณเมล็ดพริก
",(3) การละลายของสารแคปไซซิน,True,True,True,Quant
2024,39,นางสมรทำงานในโรงงานแห่งหนึ่ง มีหัวหน้าที่ไม่ยุติธรรม ถ้าวันไหนทำงานเกินเวลาก็ไม่ให้เงินเพิ่ม แต่หากวันไหนมาสายจะหักเงินเดือน นางสมรตั้งใจไปทำงานสม่ำเสมอ แต่ต้องเลี้ยงลูกด้วย จึงทำให้ไปทำงานสายเป็นบางครั้ง นางสมรจึงถูกหักเงินเดือนไปหลายรอบ ทำให้ไม่พอใช้จ่ายแต่สิ้นเดือนเจ้านายจ่ายเงินเดือนผิด โดยให้เงินเดือนเกินไปเท่าตัว และก็พบว่าสมรควร ซึ่งเป็นเพื่อนร่วมงานก็ได้รับเงินเกินเช่นกัน สมรควรทำอย่างไร เราควรยึดถือเรื่องใดมากที่สุด:,"(1) การที่เราเอาเงินไปคืน จะทำให้เจ้านายกลับตัวเป็นคนดีได้หรือ
(2) จำนวนเงินที่ได้รับเพิ่มมาก็ยุติธรรมกับงานที่เคยตั้งใจทำไปทั้งหมดหรือ
(3) จำนวนเงินที่ได้เพิ่มมาจะมีค่ามากกว่าความซื่อสัตย์ในการทำงานหรือ
(4) หากท่านคืนเงินไปก็จะเป็นผลให้สมรต้องเอาเงินไปคืนด้วย
(5) มันคุ้มค่าหรือไม่ ถ้าเจ้านายทราบแล้วถูกไล่ออกภายหลัง
",(5) มันคุ้มค่าหรือไม่ ถ้าเจ้านายทราบแล้วถูกไล่ออกภายหลัง,True,True,True,Ethics
